Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1746672669,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746672670,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1746672671,4,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,2,0,230.0,776.1940000054892,226.9869000010658,1325.4011000099126,2443.0
1746672672,6,,Aggregated,0.000000,0.000000,250,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,5,0,250.0,662.9943800042383,226.9869000010658,1325.4011000099126,5005.4
1746672673,8,,Aggregated,1.000000,0.000000,250,300,300,1300,1300,1300,1300,1300,1300,1300,1300,9,0,250.0,470.072722217689,118.05949997506104,1325.4011000099126,5290.111111111111
1746672674,10,,Aggregated,1.666667,0.000000,240,300,300,1300,1300,4400,4400,4400,4400,4400,4400,13,0,240.0,693.9057307653667,110.31699998420663,4412.797299999511,5399.615384615385
1746672675,14,,Aggregated,1.666667,0.000000,250,300,1200,1300,1300,4400,4400,4400,4400,4400,4400,15,0,250.0,701.7145866625166,110.31699998420663,4412.797299999511,5859.533333333334
1746672676,16,,Aggregated,2.400000,0.000000,250,300,350,1200,1300,4400,4400,4400,4400,4400,4400,19,0,250.0,593.2940894685759,79.6474999806378,4412.797299999511,5814.578947368421
1746672677,18,,Aggregated,2.500000,0.000000,290,350,1300,1300,3300,3400,4400,4400,4400,4400,4400,27,0,290.0,971.7473851805726,72.91170000098646,4412.797299999511,6713.666666666667
1746672678,20,,Aggregated,2.500000,0.000000,300,1200,1300,3200,3300,3400,4400,4400,4400,4400,4400,32,0,290.0,1074.3741781207063,72.91170000098646,4412.797299999511,6847.125
1746672679,22,,Aggregated,3.125000,0.000000,290,1100,1200,1300,3200,3400,4400,4400,4400,4400,4400,42,0,280.0,949.8421976161245,72.91170000098646,4412.797299999511,6713.666666666667
1746672680,24,,Aggregated,3.555556,0.000000,270,1100,1200,1300,3200,3400,4200,4400,4400,4400,4400,53,0,270.0,957.292460375751,72.91170000098646,4412.797299999511,6552.509433962264
1746672681,26,,Aggregated,4.100000,0.000000,280,1100,1200,1300,3200,3400,4200,4400,4400,4400,4400,62,0,270.0,960.4263258055829,72.91170000098646,4412.797299999511,6369.258064516129
1746672682,28,,Aggregated,5.100000,0.000000,270,1100,1200,1300,3200,3400,4200,4400,4400,4400,4400,74,0,260.0,900.2718337822541,72.91170000098646,4412.797299999511,6425.108108108108
1746672683,30,,Aggregated,5.700000,0.000000,270,1100,1200,1200,3200,3300,4200,4400,4400,4400,4400,83,0,270.0,869.4675481914688,72.91170000098646,4412.797299999511,6765.120481927711
1746672684,32,,Aggregated,6.700000,0.000000,260,1100,1200,1200,3200,3400,4200,4400,4400,4400,4400,97,0,260.0,895.1660041228062,72.91170000098646,4412.797299999511,7065.886597938144
1746672685,34,,Aggregated,7.200000,0.000000,240,1100,1200,1200,3200,3300,4200,4200,4400,4400,4400,111,0,240.0,838.7612684672857,72.91170000098646,4412.797299999511,7175.360360360361
1746672686,36,,Aggregated,8.300000,0.000000,240,1100,1200,1200,3200,3300,4200,4200,4400,4400,4400,123,0,240.0,805.9829536570346,72.91170000098646,4412.797299999511,6921.991869918699
1746672687,38,,Aggregated,9.100000,0.000000,230,1100,1200,1200,3200,3400,4200,4200,4400,4400,4400,134,0,220.0,835.3647485055262,72.91170000098646,4412.797299999511,6936.761194029851
1746672688,40,,Aggregated,10.200000,0.000000,230,1100,1200,1200,3200,3300,4200,4200,4400,4400,4400,141,0,230.0,831.6707163097598,72.91170000098646,4412.797299999511,6895.397163120568
1746672689,42,,Aggregated,10.500000,0.000000,250,1100,1200,1200,3200,3400,4200,4300,4400,4400,4400,152,0,240.0,869.2026374977247,72.91170000098646,4412.797299999511,6994.631578947368
1746672690,44,,Aggregated,10.800000,0.000000,290,1100,1200,1300,3200,4200,4200,4400,4500,4500,4500,172,0,280.0,978.7969593001668,72.91170000098646,4465.21299998858,7359.232558139535
1746672691,46,,Aggregated,10.500000,0.000000,280,1100,1200,1300,3200,3500,4200,4400,4500,4500,4500,181,0,280.0,971.2336287272256,72.91170000098646,4465.21299998858,7397.917127071823
1746672692,48,,Aggregated,11.400000,0.000000,260,1100,1200,1300,3200,4200,4300,4400,4500,4500,4500,199,0,260.0,981.3334869332588,63.93989999196492,4465.21299998858,7464.788944723618
1746672693,50,,Aggregated,12.000000,0.000000,260,1100,1200,1300,3200,4200,4300,4400,4500,4500,4500,222,0,260.0,1008.7972747735932,50.609600002644584,4530.334600014612,7175.360360360361
1746672694,52,,Aggregated,12.500000,0.000000,220,1100,1200,1300,3200,4200,4300,4500,10000,10000,10000,250,0,190.0,986.2290575994411,40.87739999522455,10381.583200010937,6901.576
1746672695,54,,Aggregated,13.800000,0.000000,220,1100,1200,1300,3200,4200,4300,4500,10000,10000,10000,270,0,220.0,988.3062540737834,40.87739999522455,10381.583200010937,6761.118518518519
1746672696,56,,Aggregated,14.100000,0.000000,170,1100,1200,1200,3200,4200,4300,4500,10000,10000,10000,295,0,170.0,952.2368288136253,40.87739999522455,10381.583200010937,6612.328813559322
1746672697,58,,Aggregated,15.900000,0.000000,150,1100,1200,1200,3200,4200,4200,4400,10000,10000,10000,317,0,150.0,918.4587602524714,40.87739999522455,10381.583200010937,6565.473186119873
1746672698,60,,Aggregated,16.300000,0.000000,150,1100,1200,1200,3200,3500,4300,4500,10000,10000,10000,344,0,150.0,892.59604244208,40.87739999522455,10381.583200010937,6353.639534883721
1746672699,62,,Aggregated,18.000000,0.000000,150,1100,1200,1200,3200,3500,4200,4500,10000,10000,10000,373,0,150.0,887.4435171582636,40.87739999522455,10381.583200010937,6255.686327077748
1746672700,64,,Aggregated,19.600000,0.000000,150,1100,1200,1200,3200,3500,4200,4500,10000,10000,10000,399,0,150.0,862.0935363411573,40.87739999522455,10381.583200010937,6264.122807017544
1746672701,66,,Aggregated,22.100000,0.000000,150,1100,1200,1200,3200,3400,4200,4400,10000,10000,10000,423,0,150.0,840.8954938538301,40.87739999522455,10381.583200010937,6319.917257683215
1746672702,68,,Aggregated,22.500000,0.000000,150,1100,1200,1200,3200,3400,4200,4400,10000,10000,10000,450,0,150.0,823.7398713337542,40.87739999522455,10381.583200010937,6372.013333333333
1746672703,70,,Aggregated,23.900000,0.000000,150,1100,1200,1200,3200,3400,4200,4400,10000,10000,10000,478,0,140.0,807.329692468975,40.87739999522455,10381.583200010937,6409.895397489539
1746672704,72,,Aggregated,24.100000,0.000000,150,1100,1200,1200,3200,3300,4200,4300,10000,10000,10000,501,0,150.0,813.2101650700204,40.87739999522455,10381.583200010937,6381.219560878243
1746672705,74,,Aggregated,25.200000,0.000000,150,1100,1200,1200,3200,3400,4200,4300,10000,10000,10000,535,0,150.0,810.1502940188724,40.87739999522455,10381.583200010937,6490.155140186916
1746672706,76,,Aggregated,25.800000,0.000000,150,1100,1200,1200,3200,3300,4200,4300,10000,10000,10000,561,0,150.0,803.2138575759298,40.87739999522455,10381.583200010937,6530.964349376114
1746672707,78,,Aggregated,25.700000,0.000000,150,1100,1200,1200,3200,3400,4200,4500,10000,10000,10000,587,0,150.0,805.6806870529927,40.87739999522455,10381.583200010937,6633.637137989778
1746672708,80,,Aggregated,27.200000,0.000000,150,1100,1200,1200,3200,3400,4200,4400,10000,10000,10000,623,0,150.0,807.6466999999973,40.87739999522455,10381.583200010937,6576.566613162119
1746672709,82,,Aggregated,27.100000,0.000000,150,1100,1200,1200,3200,3300,4200,4400,10000,10000,10000,650,0,150.0,798.4290147692305,40.87739999522455,10381.583200010937,6621.683076923077
1746672710,84,,Aggregated,27.700000,0.000000,150,1100,1200,1200,3200,3300,4300,4500,10000,10000,10000,681,0,150.0,810.6754682820513,40.87739999522455,10381.583200010937,6563.15859030837
1746672711,86,,Aggregated,27.200000,0.000000,150,1100,1200,1200,3200,3300,4200,4400,10000,10000,10000,710,0,150.0,812.1492823945772,40.87739999522455,10381.583200010937,6611.411267605634
1746672712,88,,Aggregated,28.000000,0.000000,150,1100,1200,1200,3200,3300,4200,4400,10000,10000,10000,749,0,150.0,813.8985122832297,40.87739999522455,10381.583200010937,6616.73564753004
1746672713,90,,Aggregated,28.500000,0.000000,150,1100,1200,1200,3200,3400,4300,4500,10000,10000,10000,779,0,150.0,830.6755896022428,40.87739999522455,10381.583200010937,6653.3620025673945
1746672714,92,,Aggregated,29.300000,0.000000,140,1100,1200,1200,3200,3300,4300,4500,10000,10000,10000,805,0,140.0,819.3457052175256,40.87739999522455,10381.583200010937,6612.868322981367
1746672715,94,,Aggregated,29.900000,0.000000,140,1100,1200,1200,3200,3400,4300,4500,10000,10000,10000,832,0,140.0,826.7089742790072,40.87739999522455,10381.583200010937,6569.942307692308
1746672716,96,,Aggregated,29.900000,0.000000,140,1100,1200,1200,3200,3300,4300,4500,10000,10000,10000,870,0,140.0,822.7625925289253,40.87739999522455,10381.583200010937,6581.128735632184
1746672717,98,,Aggregated,29.900000,0.000000,150,1100,1200,1200,3200,3400,4300,6200,10000,10000,10000,903,0,150.0,862.5001173867,40.87739999522455,10388.350200024433,6614.3488372093025
1746672718,100,,Aggregated,29.800000,0.000000,140,1100,1200,1200,3200,3500,4300,6600,10000,10000,10000,950,0,140.0,875.9364268422054,40.87739999522455,10388.350200024433,6556.3263157894735
1746672719,100,,Aggregated,30.800000,0.000000,140,1100,1200,1200,3200,3500,4300,6600,10000,10000,10000,987,0,140.0,869.836079939265,40.87739999522455,10388.350200024433,6492.993920972644
1746672720,100,,Aggregated,31.500000,0.000000,140,1100,1200,1200,3200,3500,4400,6600,10000,10000,10000,1028,0,140.0,881.2455124515216,40.87739999522455,10388.350200024433,6468.560311284046
1746672721,100,,Aggregated,33.100000,0.000000,140,1100,1200,1200,3200,4200,4400,6600,10000,10000,10000,1059,0,140.0,888.4727716716569,40.87739999522455,10388.350200024433,6483.800755429651
1746672722,100,,Aggregated,33.500000,0.000000,140,1100,1200,1200,3200,4200,4500,6600,10000,10000,10000,1089,0,140.0,899.6630665750813,40.87739999522455,10388.350200024433,6431.308539944904
1746672723,100,,Aggregated,33.900000,0.000000,140,1100,1200,1200,3200,4200,4500,6400,10000,10000,10000,1132,0,140.0,903.0691009720484,40.87739999522455,10388.350200024433,6460.897526501767
1746672724,100,,Aggregated,33.900000,0.000000,140,1100,1200,1200,3200,4200,4500,6400,10000,10000,10000,1165,0,140.0,904.8632858372033,40.87739999522455,10388.350200024433,6479.054935622317
